iteration,RMP_value
1,1350.0
2,1205.0
3,990.0
4,900.0
5,795.0
6,719.9999999999999
7,660.0
8,650.0
9,610.0
10,610.0
11,600.0
12,600.0
13,600.0
14,600.0
15,585.0
16,580.0
17,542.5
18,535.0
19,535.0
20,535.0
21,530.0
22,530.0
23,530.0
24,530.0
25,530.0
26,530.0
27,530.0
28,530.0
29,530.0
30,525.0
31,523.75
32,510.0
33,510.0
34,510.0
35,510.0
36,510.0
37,510.0
38,510.0
39,510.0
40,510.0
41,510.0
42,509.99999999999994
43,509.99999999999994
44,510.0
45,510.0
46,509.99999999999994
47,509.99999999999994
48,509.99999999999994
49,510.0
50,507.5
51,500.0
52,500.0
53,500.0
54,500.0
55,500.0
56,500.0
57,500.0
58,500.0
59,500.0
60,500.0
61,500.0
62,500.0
63,500.0
64,500.0
65,500.0
