iteration,RMP_value
1,900.0
2,855.0
3,690.0
4,660.0
5,576.6666666666665
6,540.0
7,460.0
8,460.0
9,440.0
10,440.0
11,400.0
12,400.0
13,400.0
14,400.0
15,400.0
16,395.0
17,390.0
18,375.0
19,375.0
20,365.0
21,365.0
22,365.0
23,353.75
24,350.0
25,350.0
26,350.0
27,348.33333333333326
28,348.33333333333326
29,348.3333333333333
30,348.33333333333326
31,348.33333333333337
32,348.3333333333333
33,348.33333333333326
34,348.33333333333326
35,343.3333333333333
36,340.0
37,340.0
38,340.0
39,340.0
40,340.0
41,340.0
42,340.0
43,340.0
