iteration,RMP_value
1,1580.0
2,1355.0
3,1230.0
4,1090.0
5,1020.0
6,982.5
7,938.3333333333334
8,909.782608695652
9,886.4634146341463
10,840.2380952380953
11,824.1666666666666
12,786.8750000000001
13,773.7837837837837
14,762.9166666666669
15,760.0
16,754.4444444444445
17,753.5714285714287
18,746.4566929133856
19,742.03125
20,736.1111111111111
21,735.8333333333333
22,733.3333333333334
23,732.2222222222221
24,732.2222222222222
25,731.9230769230775
26,728.3333333333334
27,726.6666666666667
28,726.6666666666667
29,726.6666666666666
30,726.5789473684212
31,725.0
32,723.3333333333334
33,723.3333333333335
34,723.3333333333334
35,723.3333333333335
36,723.3333333333335
37,723.3333333333334
38,723.3333333333335
39,723.3333333333335
40,723.2352941176473
41,723.0952380952383
42,723.0952380952381
43,722.7777777777778
44,722.7777777777777
45,722.7777777777778
46,722.7777777777779
47,722.7777777777777
48,722.7777777777777
49,722.5000000000001
50,722.5
51,722.5000000000001
52,722.5000000000002
53,722.4999999999999
54,722.5000000000002
55,722.5
