iteration,RMP_value
1,1450.0
2,1360.0
3,1155.0
4,1080.0
5,977.5
6,845.0
7,810.0
8,761.6666666666666
9,713.5
10,681.6666666666667
11,647.1525096525095
12,596.6666666666666
13,583.125
14,556.8181818181819
15,544.7619047619049
16,529.8333333333333
17,524.3650793650793
18,514.9074074074074
19,512.6666666666667
20,499.5833333333334
21,496.3709677419354
22,493.88888888888886
23,490.0
24,482.9166666666667
25,474.561403508772
26,470.0
27,465.0
28,460.0
29,460.0
30,460.0
31,460.0
32,460.0
33,460.0
34,460.0
35,460.0
36,460.0
37,460.0
38,460.0
39,460.0
40,459.80392156862746
41,459.672131147541
42,459.5833333333333
43,459.1666666666667
44,457.29166666666663
45,457.25
46,457.2222222222223
47,456.9444444444443
48,456.66666666666663
49,456.25
50,456.25
51,456.25
52,456.25
53,456.0
54,456.0
55,455.0
56,455.0
57,455.0
58,455.0
59,455.0
60,455.0
61,455.0
62,455.0
