iteration,RMP_value
1,2150.0
2,1990.0
3,1610.0
4,1550.0
5,1487.5
6,1380.0
7,1340.0
8,1330.0
9,1273.8888888888891
10,1221.25
11,1201.6666666666665
12,1187.727272727273
13,1161.6666666666667
14,1148.0
15,1130.7692307692305
16,1123.75
17,1113.3333333333335
18,1105.0
19,1098.3333333333333
20,1098.1944444444443
21,1093.3333333333333
22,1091.5625
23,1084.2857142857144
24,1080.0000000000005
25,1077.857142857143
26,1060.0
27,1060.0
28,1060.0
29,1060.0
30,1060.0
31,1060.0
32,1060.0
33,1060.0
34,1060.0
35,1060.0
36,1060.0
37,1060.0
38,1060.0
39,1060.0
40,1060.0
41,1060.0
42,1060.0
43,1060.0
44,1060.0
45,1059.9999999999998
46,1060.0
47,1060.0
48,1060.0
