iteration,RMP_value
1,1780.0
2,1500.0
3,1360.0
4,1306.6666666666667
5,1200.0
6,1129.3333333333333
7,1067.5
8,1041.1111111111113
9,1009.9999999999999
10,970.0
11,938.611111111111
12,925.5555555555555
13,901.1904761904759
14,871.127450980392
15,853.7681159420291
16,849.6875
17,843.3101851851857
18,834.1447368421053
19,822.9166666666662
20,816.25
21,814.5454545454547
22,811.4736842105262
23,810.625
24,808.7755102040818
25,808.2857142857141
26,805.2727272727275
27,804.6666666666667
28,803.5555555555555
29,803.4469696969699
30,802.5
31,802.4576271186443
32,802.4576271186443
33,802.413793103448
34,802.4000000000001
35,802.3529411764706
36,802.1875
37,802.1875
38,802.142857142857
39,802.1428571428571
40,802.1428571428571
41,802.1428571428571
42,802.0833333333335
43,802.0731707317073
44,802.0
45,802.0
