iteration,RMP_value
1,1580.0
2,1330.0
3,1220.0
4,1095.0
5,1026.6666666666665
6,983.3333333333333
7,900.0
8,890.0
9,772.5
10,740.0
11,715.0
12,685.0
13,669.1666666666669
14,656.6666666666667
15,641.0000000000001
16,608.75
17,590.0
18,582.5
19,571.6666666666666
20,550.0
21,538.5714285714286
22,530.0
23,523.8095238095237
24,517.1428571428571
25,513.3333333333333
26,500.0
27,495.52631578947364
28,493.0
29,487.5
30,487.5
31,487.5
32,480.0
33,480.0
34,480.0
35,480.0
36,480.0
37,475.5555555555555
38,475.0
39,474.48979591836735
40,474.3225806451612
41,473.8709677419356
42,473.8709677419355
43,470.0
44,470.0
45,470.0
46,470.0
47,470.0
48,470.0
49,470.0
50,470.0
51,470.0
52,470.0
53,470.0
54,470.0
55,470.0
56,470.0
57,470.0
58,470.0
59,470.00000000000006
60,470.0
61,470.0
62,470.0
63,469.0
64,469.0
65,469.0
66,469.0
67,469.0
68,469.0
69,468.0
70,468.0
71,468.0
72,468.0
73,468.0
74,468.0
75,468.0
76,468.0
77,468.0
78,468.0
79,467.33333333333337
80,467.33333333333337
81,467.33333333333337
82,467.33333333333337
83,467.33333333333337
84,467.33333333333337
85,466.0
86,466.0
87,466.0
88,466.0
89,466.0
90,466.0
91,466.0
92,466.0
93,466.0
94,466.0
95,464.0
96,464.0
97,464.0
98,464.0
99,464.0
100,464.0
101,464.0
102,464.0
103,464.0
104,464.0
105,464.0
