iteration,RMP_value
1,1400.0
2,1300.0
3,1010.0
4,1003.3333333333333
5,927.5
6,833.3333333333333
7,745.0
8,745.0
9,700.0
10,660.0000000000001
11,619.9999999999999
12,593.3333333333334
13,560.4761904761904
14,545.5555555555557
15,537.2172351885099
16,513.0
17,495.71428571428584
18,492.90909090909093
19,473.77622377622373
20,459.375
21,447.7777777777778
22,444.0
23,442.0
24,437.5
25,437.5
26,435.83333333333326
27,433.3333333333334
28,430.9523809523809
29,430.0
30,430.0
31,426.842105263158
32,423.6607142857143
33,422.5
34,420.35398230088504
35,419.9999999999999
36,418.41269841269843
37,418.37104072398193
38,417.142857142857
39,416.66666666666663
40,416.66666666666663
41,416.66666666666663
42,416.6666666666667
43,416.6666666666667
44,416.66666666666663
45,416.66666666666663
46,416.66666666666663
47,416.66666666666663
48,416.66666666666663
49,416.66666666666663
