iteration,RMP_value
1,2080.0
2,1885.0
3,1565.0
4,1420.0
5,1370.0
6,1295.0
7,1270.0
8,1202.5
9,1185.0
10,1150.0
11,1120.0
12,1108.1818181818182
13,1102.8571428571427
14,1060.0
15,1043.076923076923
16,1024.5833333333335
17,1011.2115384615385
18,990.0
19,977.7272727272729
20,966.0
21,954.9999999999999
22,943.75
23,940.0
24,936.6666666666664
25,933.3333333333331
26,933.333333333333
27,929.4444444444443
28,927.9508196721312
29,923.4999999999999
30,920.3333333333333
31,920.3030303030303
32,913.3333333333334
33,912.1052631578948
34,911.25
35,910.1923076923075
36,910.0
37,909.4642857142857
38,909.4642857142856
39,905.0
40,905.0
41,905.0
42,905.0
43,905.0
44,905.0
45,905.0
46,905.0
47,905.0
48,905.0
49,905.0
50,905.0
51,905.0
52,905.0
53,905.0
54,905.0
55,905.0
56,905.0
