iteration,RMP_value
1,1740.0
2,1540.0
3,1270.0
4,1240.0
5,1090.0
6,1055.0
7,973.3333333333333
8,910.0
9,878.3333333333333
10,846.0
11,802.2333333333332
12,774.9629629629632
13,746.6666666666669
14,713.6486486486485
15,692.8571428571427
16,690.0
17,687.5
18,655.0
19,655.0
20,645.0
21,645.0
22,640.8333333333334
23,640.0
24,638.3333333333334
25,635.6666666666666
26,632.0833333333334
27,629.0
28,620.0
29,618.6666666666666
30,615.7142857142858
31,615.0
32,615.0
33,615.0
34,615.0
35,612.5
36,612.5
37,612.5
38,612.272727272727
39,611.25
40,611.0
41,611.0
42,611.0
43,611.0
44,611.0
45,610.8333333333334
46,610.6666666666666
47,610.0
48,608.5714285714284
49,608.5185185185185
50,608.5
51,608.5
52,608.5
53,608.411214953271
54,608.3333333333335
55,608.3333333333335
56,608.3333333333335
57,608.3333333333335
58,608.2926829268292
59,608.2352941176471
60,608.2352941176471
61,608.2222222222223
62,608.1395348837211
63,608.0991735537191
64,608.0882352941175
65,607.843137254902
66,607.8260869565217
67,607.7586206896551
68,607.6237623762376
69,607.6000000000003
70,607.5
71,607.5
72,607.5
73,607.5
